id,label_0,label_0_prob,label_1,label_1_prob,label_2,label_2_prob
1,1,0.63379,20,0.27867737,2,0.030665865
2,20,0.9776904,1,0.0047905436,16,0.0032498369
3,12,0.33452895,2,0.30718634,20,0.1893758
4,2,0.6355949,1,0.12005321,12,0.08658984
5,8,0.39477676,4,0.2642348,18,0.118986376
6,9,0.9916504,1,0.0013665336,20,0.00083503214
7,19,0.9861967,20,0.0032314423,16,0.0026336876
8,1,0.993244,5,0.0016235661,15,0.0015669502
9,9,0.97614664,6,0.007059539,2,0.005974142
10,12,0.48450807,2,0.42915154,1,0.038233735
11,23,0.40586352,14,0.1667221,20,0.09652859
12,1,0.9617163,20,0.017555242,19,0.0071036136
13,20,0.9487919,2,0.020525778,1,0.015462029
14,19,0.8656843,9,0.0724101,20,0.02153352
15,12,0.8672478,13,0.09009723,2,0.015282167
16,20,0.9836964,2,0.0047323974,13,0.0026555911
17,1,0.5777853,15,0.23456511,20,0.06633155
18,20,0.98380935,2,0.006897581,1,0.0013895113
19,6,0.65963435,23,0.08161804,2,0.07844716
20,9,0.9945592,2,0.00088565925,5,0.0006017373
21,7,0.96390194,21,0.02068339,23,0.002201602
22,7,0.3000225,1,0.26845872,2,0.14659698
23,1,0.38168338,20,0.1992863,13,0.1979549
24,20,0.83288765,2,0.10793129,1,0.01428898
25,12,0.935967,13,0.047363464,2,0.0038418472
26,6,0.9977518,13,0.00029255523,20,0.0002470901
27,23,0.47241148,15,0.12762278,14,0.07752873
28,15,0.34331328,21,0.3048892,23,0.112220995
29,9,0.99494344,2,0.000714515,5,0.0005761034
30,2,0.9926702,12,0.0014519568,15,0.00078211795
31,2,0.9933774,9,0.0017764083,12,0.0006418373
32,19,0.98888797,20,0.0027351175,18,0.0020995229
33,19,0.93295085,16,0.057813276,20,0.0017260176
34,19,0.99179465,16,0.0043109907,18,0.00054405624
35,18,0.9642183,19,0.011105898,1,0.004579176
36,19,0.9965963,20,0.00061826,18,0.0004902154
37,19,0.6811788,20,0.21427247,12,0.051196408
38,19,0.9936371,12,0.0012236873,20,0.0010699008
39,19,0.99558914,20,0.0013215254,16,0.00047312488
40,19,0.9978537,13,0.00027793992,18,0.00024636093
41,15,0.9820739,1,0.009135899,5,0.0026238046
42,15,0.9452391,1,0.028660372,5,0.007263542
43,14,0.97288597,1,0.009043016,15,0.008303246
44,15,0.97693527,20,0.008362399,1,0.0069904155
45,5,0.9916082,1,0.0024774983,15,0.0017683472
46,20,0.9903948,1,0.001338731,15,0.0012902279
47,20,0.94815135,1,0.037003577,15,0.0038953598
48,2,0.9421697,20,0.041005682,12,0.004147146
49,1,0.95746833,15,0.02211376,20,0.0064836936
50,18,0.96745414,19,0.007663406,1,0.0043830695
51,1,0.9947936,15,0.0013869489,5,0.0009751138
52,1,0.99640036,15,0.0006139566,20,0.00058196083
53,13,0.9954833,1,0.0011270029,5,0.00057383155
54,20,0.9802238,1,0.0058068885,2,0.004693858
55,10,0.72101265,1,0.12557879,20,0.11590596
56,1,0.9935249,15,0.0030577732,20,0.00055222306
57,19,0.99691653,18,0.0006774036,1,0.00042937422
58,1,0.7228984,20,0.23214386,15,0.018436985
59,20,0.9600231,1,0.018691115,14,0.00649358
60,8,0.99686086,19,0.00048532846,7,0.00030825002
61,8,0.99640816,19,0.00054641505,15,0.00037064624
62,8,0.9961272,19,0.0005949065,1,0.00044299933
63,8,0.9614645,1,0.01825565,14,0.004276243
64,8,0.9968136,19,0.00049434707,7,0.00030350123
65,8,0.995665,7,0.0010864818,19,0.0006226088
66,8,0.99670756,19,0.00047052107,7,0.0003690284
67,8,0.99600285,19,0.0006042857,15,0.0005466373
68,9,0.95666116,1,0.010120562,5,0.008974507
