id,text,code,party
1,"Die Schweizerische Eidgenossenschaft schützt die Freiheit und die Rechte des Volkes und wahrt die Unabhängigkeit und die Sicherheit des Landes.» Mit Artikel 2 der Bundesverfassung wird der Zweck unseres Landes aufgezeigt. Der Schutz der Freiheit, die Rechte des Volkes, die Unabhängigkeit und die Sicherheit sind zentrale Eckpunkte und Aufgaben des Staates. Doch diese sind immer mehr in Gefahr. Linke, Grüne und bis hin zur Mitte versuchen mit ihrer desaströsen Umverteilungspolitik unser Land zu zerstören, die Bürger zu verunsichern und den Wohlstand zu ruinieren. Sie führen uns von einer Krise in die nächste. Daher muss das Ruder endlich wieder rumgerissen werden. Hin zu mehr Freiheit. Zu mehr Sicherheit. Zu mehr Wohlstand.",01,SVP
2,"Die Freiheit ist in der DNA unseres Landes. 1291 haben sich Uri, Schwyz und Unterwalden in einem eigenen Bündnis von den Habsburgern losgelöst und darauf geschworen, sich gegenseitig zu helfen. Damit wurde der Grundstein für unser Land, für unsere Freiheit gelegt. Im Bundesbrief von 1291 ist neben der Freiheit die Sicherheit das zentrale Element. Schon unsere Vorfahren wussten: Nur wer klare Spielregeln hat und Land und Leute schützt, kann frei sein.",01,SVP
3,"Die SVP kämpft seit ihrer Gründung für die Freiheit und die Sicherheit der Schweiz und ihrer Bürgerinnen und Bürger. Das ist unser Kern und der Kernauftrag unseres Staates. Nur wer beides gewährt, kann die Rechte des Volkes und die Unabhängigkeit schützen. Und beide Pfeiler sind die Basis unseres Wohlstandes.",01,SVP
4,"Die SVP setzt sich für alle Bürgerinnen und Bürger ein und garantiert eine sichere Zukunft in Freiheit für unser Land.",01,SVP
5,"Gute Rahmenbedingungen, damit die Versorgung der Bürgerinnen und Bürger mit genügend und kostengünstigen Nahrungsmitteln und Energie sichergestellt ist, sind zentral. Während der Corona-Pandemie wurde deutlich: Jedes Land schaut zuerst für sich. Was wir nicht selbst produzieren können, müssen wir je nachdem unter erschwerten Bedingungen im Ausland erwerben. Daher ist es zentral, dass die Schweiz die Abhängigkeiten vom Ausland wo immer möglich reduziert: bei der Strom und Energieversorgung, bei den Nahrungsmitteln, Medikamenten und sonstigen lebensnotwendigen Gütern. Die SVP setzt sich dafür ein, dass der Selbstversorgungsgrad mit Nahrungsmitteln in der Schweiz erhöht wird. Dies bedeutet, dass nicht noch mehr Kulturland verbaut oder renaturiert wird. Die SVP steht auch für eine einheimische Stromversorgung, die aus Wasserkraft, Kernenergie und neuen erneuerbaren Energien besteht.",01,SVP
6,"Der Zustrom an Menschen in unser Land wird immer dramatischer. Im Jahr 2022 sind 240’000 Menschen in unser Land eingewandert. Das entspricht der Einwohnerzahl der Städte Bern (134’000) und Luzern (82’000) zusammen. In einem Jahr. All diese Menschen brauchen unsere Infrastrukturen wie Strassen, Wohnungen, Spitäler oder Schulhäuser. Sie brauchen Energie und Strom. Sie brauchen Nahrungsmittel. Geht die ungebremste Zuwanderung so weiter, werden wir in wenigen Jahren 10 Millionen Einwohner haben. 9 Millionen haben wir schon. Unser Land steht in vielen Bereichen am Rande eines Kollapses: unser Land ist klein und begrenzt. Der Verkehr steht immer mehr still, die Strassen sind überlastet. In den Schulen sprechen immer weniger Schüler Mundart. Zugewanderte pflegen in Spitälern Zugewanderte. Es wird überall immer enger. Die SVP fordert, dass die ungebremste Zuwanderung gestoppt wird und die illegale Zuwanderung über die Asylschiene unterbunden wird.",01,SVP
7,"Die Unabhängigkeit, die Selbstbestimmung und die Freiheit unseres Landes sind zentrale Eckpfeiler unseres Wohlstandes. Rund um uns herum herrscht hohe Inflation und Unsicherheit. Dank dem, dass die Schweiz nicht Mitglied der Europäischen Union (EU) ist, steht unser Land besser da. Wir können noch vieles selbst entscheiden. Doch verschiedene Kräfte wollen die Schweiz in die EU drängen, wollen immer mehr internationales Recht übernehmen. Die SVP wehrt sich mit aller Kraft dagegen. Wir stehen zur immerwährenden, bewaffneten Neutralität unseres Landes. Wir stehen dafür ein, dass die Schweiz zu allen Ländern freundschaftliche Beziehungen auf Augenhöhe unterhält, aber sich in kein Bündnis einbinden lässt. Die SVP setzt sich dafür ein, dass in der Schweiz «Schweizer Recht» und nicht internationales Recht gilt. Und dass das Volk bei allen Fragen das letzte Wort hat.",01,SVP
8,"Der Wohlstand misst sich daran, wie viel den Menschen am Ende des Monats im Portemonnaie bleibt. Wer jeden Morgen aufsteht und zur Arbeit geht, der soll belohnt werden. Es darf nicht sein, dass immer mehr Menschen in diesem Land nicht mehr arbeiten wollen und auf Kosten der Steuerzahler das Leben geniessen. Wegen der verfehlten Energiepolitik, der immer grösseren Umverteilung, Sozialschmarotzern, neuen Vorschriften, Steuern und Abgaben werden unser Wohlstand und unsere Freiheit an die Wand gefahren. Die Preise steigen. Den Familien, dem Mittelstand, den Gewerblern, den Rentnern bleibt Ende Monat immer weniger im Portemonnaie. Die SVP steht für die Senkung von Steuern, Abgaben und Gebühren ein. Die SVP widersetzt sich den links-grünen Vorschriften und Verboten in den Bereichen von Essen, Kultur, Sprache, Energieverbrauch, Verkehrsmittel oder Gesundheit. Wir nehmen die Bürgerinnen und Bürger als mündige Menschen ernst. Als Menschen, die eigenverantwortlich zum Wohle von sich, aber auch der Gesellschaft handeln. Dafür braucht es keine staatliche Umerziehung und Umverteilung.",01,SVP
9,"Immer mehr Zuwanderung in unser Land bedeutet, dass sich unser Land verändert. Dabei gehen unsere Kultur, aber auch unsere Werte verloren. Waren vor wenigen Jahren in einer Schulklasse noch ein bis zwei Kinder ausländischer Herkunft, so muss man heute in vielen Schulklassen die Schülerinnen und Schüler suchen, die noch Schweizer sind. Damit wir in unserem eigenen Land nicht immer fremder werden, muss der Zuwanderung endlich Einhalt geboten werden. Wir müssen unsere Werte, unsere Kultur, unsere direkte Demokratie, unseren Föderalismus und unser Ehrenamt wieder verstärkt ins Zentrum setzen. In unserem Land gehört es sich, dass man sich an die geltenden Regeln hält. Und die Meinungsfreiheit und das Tolerieren von verschiedenen Meinungen muss mit aller Vehemenz verteidigt werden. Die SVP steht zu den Werten und der Traditionen der Schweiz. Die SVP setzt sich für die Beibehaltung der Volksrechte und des Föderalismus ein. Sie alle sind wichtige Pfeiler des Wohlstandes und Erfolg der Schweiz.",01,SVP
10,"Der aufkommenden Woke-Gesellschaft, in der eine kleine Minderheit bestimmen will, wie sich die Mehrheit verhalten soll, bietet die SVP entschieden die Stirn. Für uns stehen die wichtigen Themen im Zentrum: die Freiheit und die Sicherheit. Für unsere Bürgerinnen und Bürger. Und für unser Land.",01,SVP
